finding_id,company,ticker,sector,source_id,finding_name,finding_type,evidence_quotation,page_or_section,evidence_strength,confidence,reason_excluded_from_operational_count,coded_by,coded_date,notes
RR-STR-003,Rolls-Royce Holdings,RR,Aerospace & defence,RR-001,Workforce ai readiness planning (p.34),workforce_ai_readiness_planning,"tops, upgraded collaboration tools, and modernised shop-floor technology, removing friction from daily work and enabling faster, better decisions. AI workforce readiness is also underway, building confidence in data-driven decision-making and accelerating responsiveness across the business. Be",p.34,1_weak,medium,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-07-17,"Promoted from staging RR-STR-005 (reviewer_decision=accept). Company-primary statement that 'AI workforce readiness is also underway' with workforce-planning capability strengthened via forecasting to assess the impact of AI -- genuine but fairly general, no quantified figure or named programme -- matches 1_weak/medium (some judgment required to read this as substantive rather than vague, but no scale/outcome evidence). reviewer_notes at staging: Corrected from rejected staging (originally RR-REJ-008, provisional_rejection_category=vague_general_ai_reference). Genuine AI workforce-readiness finding: workforce planning capability strengthened through extensive forecasting to map critical skills and assess the impact of AI. Human-reviewed and accepted as a strategic workforce-readiness finding."
RR-STR-004,Rolls-Royce Holdings,RR,Aerospace & defence,RR-001,Workforce ai learning platform capability (p.35),workforce_ai_learning_platform_capability,"rganisation. Extensive research has been undertaken to identify key skills across all critical capability areas to better understand the impact of AI on roles, as well as the geographical supply of the best talent and to ensure a progressive, consistent and aligned approach to strategic workfor",p.35,2_moderate,medium,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-07-17,"Promoted from staging RR-STR-006 (reviewer_decision=accept). Specific, named platform (MyLeatro, 'our AI learning platform') with a quantified scale figure (991,196 learning hours delivered), but no outcome/effectiveness measure beyond volume -- matches 2_moderate/medium. reviewer_notes at staging: Corrected from rejected staging (originally RR-REJ-009). Quantified workforce/skills finding: 991,196 learning hours delivered via digital and AI-enabled tools; named platform 'MyLeatro, our AI learning platform'. Kept separate from RR-STR-005 (RR-REJ-008) as a materially distinct, more concrete finding per the explicit review criteria (quantified hours + named platform)."
EXPN-STR-001,Experian,EXPN,Support services,EXPN-002,Data and ai capability building (not_applicable),data_and_ai_capability_building,se_experian-accelerates-migration-to-aws-to-drive-innovation-wi_2025-06-19.html Title: Experian Accelerates Migration to AWS to Drive Innovation with Generative AI Skip to main navigation Share price at Alerts and feeds Contact us Global sites Share price Experian shares (EXPN) are listed on the London St,not_applicable,2_moderate,medium,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-07-20,"Promoted from staging EXPN-STR-012 (reviewer_decision=accept). Names a specific internal team (TBS) building data-and-AI capability at scale, but no discrete task or deployment evidence -- matches 2_moderate/medium. reviewer_notes at staging: REVIEW: reviewed from rejected (EXPN-REJ-064). Explicit generative-AI language present ('generative AI', 'developing more than 100 generative AI use-cases', database-migration streamlining) but no individually described task meets all four operational criteria (task, user group, deployment stage, GenAI connection) -- no employee/customer user group is named for the database-migration task specifically. Retained as strategic capability-building evidence (AWS strategic partnership for generative AI) per the conservative coding rule against inferring operational use from platform-level or partnership disclosure. Company-primary provenance."
ADM-STR-001,Admiral Group,ADM,Insurance,ADM-001,Technology strategy (not_applicable),technology_strategy,"nership with Google Cloud covers four core areas: Data and AI: Admiral will continue to leverage Google Cloud's data analytics, machine learning and generative AI capabilities to strategically enable data-driven decision making across the organisation. Digital experiences: Using its centralised view of data, A",not_applicable,1_weak,low,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-07-20,"Promoted from staging ADM-STR-001 (reviewer_decision=accept). Broad statement that AI is used to 'optimise operations', with no specific task, team, or deployment evidence described -- matches 1_weak/low. reviewer_notes at staging: REVIEW: reviewed from rejected (ADM-REJ-002). Explicit generative-AI language present ('leverage Google Cloud's data analytics, machine learning and generative AI capabilities to strategically enable data-driven decision making') but no concrete task, user group or deployment stage is described -- fails the operational bar per the instruction not to infer deployment merely from the phrase 'generative AI capabilities'. Retained as strategic technology-partnership evidence. Technology_partner provenance preserved (issued by Google Cloud via PR Newswire)."
WTB-STR-001,Whitbread,WTB,Retail hospitality,WTB-002,Technology strategy (p.117),technology_strategy,and inclusion • Information security and digital transformation • Investors’ perspective for Board members • Sustainability regulatory outlook • Generative AI Board Diversity The Board diversity policy was updated in March 2024 to align with the latest FCA targets and also business best practice. More i,p.117,1_weak,low,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-08-04,"Promoted from staging WTB-STR-001 (reviewer_decision=accept). Broad statement that AI is used to 'optimise operations', with no specific task, team, or deployment evidence described -- matches 1_weak/low. reviewer_notes at staging: REVIEW: thin but genuine disclosure -- 'Generative AI' listed as a discrete Board briefing topic alongside other named topics, not a vague/general-AI mention. No task, deployment stage or benefit described, so correctly excluded from the operational count. Reclassified finding_type from 'digital_transformation' to 'technology_strategy' (1_weak/low) as this is a bare topic-list mention, not a quantified capability-building statement."
LSEG-STR-001,London Stock Exchange Group,LSEG,Financial services,LSEG-001,Technology strategy (p.5),technology_strategy,"hrough our partnership approach, we operate and grow critical platforms that are developed in partnership with the industry. – Our LSEG Everywhere AI strategy is a natural extension of our open model, delivering our data in an easy-to-access way to where our customers are working. High-quality an",p.5,1_weak,low,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-08-04,"Promoted from staging LSEG-STR-001 (reviewer_decision=accept). Broad statement that AI is used to 'optimise operations', with no specific task, team, or deployment evidence described -- matches 1_weak/low. reviewer_notes at staging:  REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-002,London Stock Exchange Group,LSEG,Financial services,LSEG-001,Technology strategy (p.8),technology_strategy,"the assets we have built and brought together under one roof, and our proven track record of delivering real value through long-term partnership. AI strategy Artificial intelligence is transforming financial markets. With our unmatched data, infrastructure and partnerships, LSEG is at the foref",p.8,1_weak,low,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-08-04,"Promoted from staging LSEG-STR-002 (reviewer_decision=accept). Broad statement that AI is used to 'optimise operations', with no specific task, team, or deployment evidence described -- matches 1_weak/low. reviewer_notes at staging:  REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-003,London Stock Exchange Group,LSEG,Financial services,LSEG-001,Technology strategy (p.10),technology_strategy,"nitiatives such as custom index creation in FTSE Russell, allow us to deliver flexible, integrated solutions. We are executing our LSEG Everywhere AI strategy built on trusted data and our open approach to unlock new opportunities. Leveraging Model Context Protocol to allow governed access to ou",p.10,1_weak,low,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-08-04,"Promoted from staging LSEG-STR-003 (reviewer_decision=accept). Broad statement that AI is used to 'optimise operations', with no specific task, team, or deployment evidence described -- matches 1_weak/low. reviewer_notes at staging:  REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-004,London Stock Exchange Group,LSEG,Financial services,LSEG-001,Technology strategy (p.11),technology_strategy,"nitiatives such as custom index creation in FTSE Russell, allow us to deliver flexible, integrated solutions. We are executing our LSEG Everywhere AI strategy built on trusted data and our open approach to unlock new opportunities. Leveraging Model Context Protocol to allow governed access to ou",p.11,1_weak,low,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-08-04,"Promoted from staging LSEG-STR-004 (reviewer_decision=accept). Broad statement that AI is used to 'optimise operations', with no specific task, team, or deployment evidence described -- matches 1_weak/low. reviewer_notes at staging:  REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-005,London Stock Exchange Group,LSEG,Financial services,LSEG-001,Technology strategy (p.13),technology_strategy,"AI Strategy – LSEG Everywhere Artificial intelligence is transforming financial markets. With our unmatched data, infrastructure and partnerships, we a",p.13,1_weak,low,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-08-04,"Promoted from staging LSEG-STR-005 (reviewer_decision=accept). Broad statement that AI is used to 'optimise operations', with no specific task, team, or deployment evidence described -- matches 1_weak/low. reviewer_notes at staging:  REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-006,London Stock Exchange Group,LSEG,Financial services,LSEG-001,Embedding ai into operations (p.14),embedding_ai_into_operations,"tial progress in migrating to software-defined networks, reducing device obsolescence by 80% while tripling capacity. We are increasingly embedding AI into our processes. For example, our AI-powered Question and Answer Service (QAS) is now being used in over 80% of all customer cases, enabling ha",p.14,2_moderate,medium,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-08-04,"Promoted from staging LSEG-STR-006 (reviewer_decision=accept). Company-primary statement of embedding AI into operations with a clear (if broad) capability described, but no specific task, deployment stage, or measurable outcome -- matches 2_moderate/medium. reviewer_notes at staging:  REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-007,London Stock Exchange Group,LSEG,Financial services,LSEG-001,Technology strategy (p.23),technology_strategy,"ership, with more to come in 2026. LSEG Everywhere Delivering trusted data wherever customers work is the goal of our LSEG Everywhere strategy. As AI adoption accelerates and workflows become increasingly distributed, customers need seamless access to authoritative content across various enviro",p.23,1_weak,low,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-08-04,"Promoted from staging LSEG-STR-007 (reviewer_decision=accept). Broad statement that AI is used to 'optimise operations', with no specific task, team, or deployment evidence described -- matches 1_weak/low. reviewer_notes at staging:  REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-008,London Stock Exchange Group,LSEG,Financial services,LSEG-001,Technology strategy (p.51),technology_strategy,"iled disclosure around drivers of revenue in Data & Analytics in our third-quarter trading update, which was followed by a full presentation of our AI strategy at November’s Innovation Forum. – Investor feedback informed strategic priorities and capital allocation decisions, helping the Board bal",p.51,1_weak,low,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-08-04,"Promoted from staging LSEG-STR-008 (reviewer_decision=accept). Broad statement that AI is used to 'optimise operations', with no specific task, team, or deployment evidence described -- matches 1_weak/low. reviewer_notes at staging:  REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-009,London Stock Exchange Group,LSEG,Financial services,LSEG-001,Technology strategy (p.70),technology_strategy,"ess of the LMP at every Board meeting during the year, including programmes to deliver next-generation data and analytics, cloud infrastructure and AI integration. – Monitored the ongoing transformation to a customer-centric and product-led organisation. – Received briefings on AI strategy and pr",p.70,1_weak,low,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-08-04,"Promoted from staging LSEG-STR-009 (reviewer_decision=accept). Broad statement that AI is used to 'optimise operations', with no specific task, team, or deployment evidence described -- matches 1_weak/low. reviewer_notes at staging:  REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-010,London Stock Exchange Group,LSEG,Financial services,LSEG-001,Technology strategy (p.85),technology_strategy,"r Post Trade Solutions (PTS) business with 11 leading banks taking a 20% stake, enabling long-term value creation – Delivering our LSEG Everywhere AI strategy centred on Trusted Data, Transformative Products, and Intelligent Enterprise, including partnerships with Anthropic, Databricks, OpenAI,",p.85,1_weak,low,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-08-04,"Promoted from staging LSEG-STR-010 (reviewer_decision=accept). Broad statement that AI is used to 'optimise operations', with no specific task, team, or deployment evidence described -- matches 1_weak/low. reviewer_notes at staging:  REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-011,London Stock Exchange Group,LSEG,Financial services,LSEG-001,Technology strategy (p.95),technology_strategy,"o group EBITDA margin and AEPS in 2025, while creating a deeper strategic partnership with 11 leading banks taking a 20% stake. The LSEG Everywhere AI strategy, LSEG’s unmatched data and our infrastructure position us as a long-term strategic partner of choice, as do the new LSEG Data Access Agree",p.95,1_weak,low,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-08-04,"Promoted from staging LSEG-STR-011 (reviewer_decision=accept). Broad statement that AI is used to 'optimise operations', with no specific task, team, or deployment evidence described -- matches 1_weak/low. reviewer_notes at staging:  REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-012,London Stock Exchange Group,LSEG,Financial services,LSEG-002,Technology strategy (p.107),technology_strategy,"tion Officer, Irfan Hussain, presented his technology strategy to the Board. — The Board received briefings on the Data & Analytics business and AI strategy at the Board Strategy Day. — The Board received briefings on technology and competitive dynamics at meetings during the year. — Updates o",p.107,1_weak,low,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-08-04,"Promoted from staging LSEG-STR-012 (reviewer_decision=accept). Broad statement that AI is used to 'optimise operations', with no specific task, team, or deployment evidence described -- matches 1_weak/low. reviewer_notes at staging:  REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-013,London Stock Exchange Group,LSEG,Financial services,LSEG-003,Technology strategy (not_applicable),technology_strategy,s can benefit from intelligent tools that enhance decision-making and productivity and lower barriers to innovation – empowering organisations to use AI responsibly and securely. Today’s announcement builds on LSEG’s AI strategy – LSEG Everywhere – which is delivering trusted licensed data to scale A,not_applicable,1_weak,low,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-08-04,"Promoted from staging LSEG-STR-013 (reviewer_decision=accept). Broad statement that AI is used to 'optimise operations', with no specific task, team, or deployment evidence described -- matches 1_weak/low. reviewer_notes at staging:  REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-014,London Stock Exchange Group,LSEG,Financial services,LSEG-004,Technology strategy (not_applicable),technology_strategy,"ve quickly with confidence. We’re proud to support LSEG as they bring richer insights to their clients and equip their own teams with more efficient, AI-driven workflows.” LSEG Everywhere - Our AI Strategy This partnership is the latest milestone in LSEG’s AI strategy – LSEG Everywhere – which is de",not_applicable,1_weak,low,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-08-04,"Promoted from staging LSEG-STR-014 (reviewer_decision=accept). Broad statement that AI is used to 'optimise operations', with no specific task, team, or deployment evidence described -- matches 1_weak/low. reviewer_notes at staging:  REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-015,London Stock Exchange Group,LSEG,Financial services,LSEG-004,Genai product rollout planned (not_applicable),genai_product_rollout_planned,"LSEG today announced an MCP (Model Context Protocol) connector for ChatGPT users and enterprise customers of OpenAI, and initial plans to make ChatGPT Enterprise available for employees... ChatGPT users with LSEG licensed credentials will be able to access and analyse LSEG financial market data and news directly within the ChatGPT app... LSEG's MCP connector is expected to be live in ChatGPT from the week of 8 December 2025.",not_applicable,2_moderate,medium,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-08-04,"Promoted from staging LSEG-STR-015 (reviewer_decision=accept). Concrete, dated, quantifiable generative-AI product/rollout announcement (named connector or enterprise-wide tool access, with a specific target date or headcount) but explicitly described with future-tense/'expected'/'plans' language rather than confirmed live within the source document -- matches 2_moderate/medium (unusually concrete for a planned item, but excluded from the operational count per the rule against classifying planned deployments as operational). reviewer_notes at staging: REVIEW: split out of LSEG-REJ-067 (over-consolidated 'vague_general_ai_reference' row covering two distinct claims from this press release). This is a concrete, dated, quantifiable GenAI product announcement (ChatGPT/MCP connector giving customers access to LSEG financial data) but explicitly described with future-tense/'expected' language tied to a specific go-live date -- per this loop's rule not to classify planned deployments as operational, coded as strategic capability-building rather than operational, despite being unusually concrete for a 'planned' item."
LSEG-STR-016,London Stock Exchange Group,LSEG,Financial services,LSEG-004,Genai product rollout planned (not_applicable),genai_product_rollout_planned,"Additionally, an initial 4,000 LSEG employees will get access to ChatGPT Enterprise to efficiently streamline tasks, improve internal processes and be more productive, within ChatGPT's secure enterprise environment.",not_applicable,2_moderate,medium,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-08-04,"Promoted from staging LSEG-STR-016 (reviewer_decision=accept). Concrete, dated, quantifiable generative-AI product/rollout announcement (named connector or enterprise-wide tool access, with a specific target date or headcount) but explicitly described with future-tense/'expected'/'plans' language rather than confirmed live within the source document -- matches 2_moderate/medium (unusually concrete for a planned item, but excluded from the operational count per the rule against classifying planned deployments as operational). reviewer_notes at staging: REVIEW: split out of LSEG-REJ-067 (same over-consolidated row as LSEG-STR-015). Quantified internal rollout (4,000 employees) of ChatGPT Enterprise for general productivity, but the source text says employees 'will get access' -- future tense, not yet confirmed live within the document -- coded as strategic/planned per this loop's rule, not operational. Task described ('streamline tasks, improve internal processes') is also fairly generic rather than a single discrete workflow."
SMIN-STR-001,Smiths Group,SMIN,General industrials,SMIN-001,Technology strategy (p.14),technology_strategy,"gives rise to a range of megatrends that impact Smiths. HOW WE ARE RESPONDING TO THESE MEGATRENDS MEGATRENDS PRIMARY MARKET FORCES TECHNOLOGY – GenAI, quantum computing and Industry 5.0 – New human/machine ecosystems – Protectionism – Security DEMOGRAPHICS – Aging populations – Increased urba",p.14,1_weak,low,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-08-04,"Promoted from staging SMIN-STR-001 (reviewer_decision=accept). Broad statement that AI is used to 'optimise operations', with no specific task, team, or deployment evidence described -- matches 1_weak/low. reviewer_notes at staging: REVIEW: 'GenAI' named explicitly as one of several technology megatrends the company is 'responding to' in its strategic-report megatrends framework -- a genuine, if thin, disclosure (not a vague general-AI mention, since 'GenAI' is used specifically). No task, deployment stage or benefit described, so correctly excluded from the operational count."
