finding_id,company,ticker,sector,source_ids,finding_name,finding_type,evidence_quotation_or_summary,page_or_section,employee_training,responsible_ai_framework,human_involvement_discussed,privacy_discussed,accuracy_or_hallucination_discussed,environmental_limitation_discussed,reason_excluded_from_operational_count,coded_by,coded_date,notes
BT-GOV-003,BT Group,BT.A,Telecommunications services,BT-001,Ai governance framework (p.60),document_level_governance_discussion,"icipating and preparing for tomorrow’s. That means actively managing risks like privacy, data architecture, processing and retention. Our data and AI strategy aims to deliver value and efficiency – while giving us a framework to manage risks on complying with data and AI governance and regulation",p.60,no,no,no,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-17,Promoted from staging BT-GOV-003 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: Substantive: explicit 'data and AI governance and regulation' framework and risk-appetite language on using AI responsibly.
BT-GOV-004,BT Group,BT.A,Telecommunications services,BT-001,Safeguards and responsible use (p.60),document_level_governance_discussion,"akeholder trust, harm colleagues, customers or suppliers and/or lead to litigation, fines and penalties. Our risk appetite We want to use data and AI ethically to grow our business, while following global regulations and contractual clauses. We aim to protect BT Group, colleagues, customers, part",p.60,no,no,no,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-17,Promoted from staging BT-GOV-004 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: Substantive: 'We want to use data and AI ethically to grow our business' -- explicit responsible-AI risk-appetite commitment.
BT-GOV-005,BT Group,BT.A,Telecommunications services,BT-002,Safeguards and responsible use (p.39),document_level_governance_discussion,"ucts and services are used for good. So we focus on protecting privacy and free expression and preventing online harms. This year we published an AI standard for colleagues, to ensure our use, development, purchase and sale of AI is consistent with the responsible tech principles, thereby help",p.39,no,no,no,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-17,Promoted from staging BT-GOV-006 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: Substantive: 'published an AI standard for colleagues... consistent with the responsible tech principles... reduce risk at every stage of the AI life cycle' -- genuine AI governance policy.
BT-GOV-006,BT Group,BT.A,Telecommunications services,BT-002,Safeguards and responsible use (p.66),document_level_governance_discussion,"e right AI skills and capabilities. We must also apply responsible technology principles that maintain our stakeholders’ trust. The growing use of AI also means relying even more on data, which creates new challenges and risks. Given the synergies between the two, we’ve expanded our Data GRC to",p.66,no,no,no,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-17,"Promoted from staging BT-GOV-007 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: Substantive: describes an actual governance-structure change -- 'expanded our Data GRC' to cover the growing use of AI -- genuine risk/compliance oversight expansion, not incidental."
BT-GOV-007,BT Group,BT.A,Telecommunications services,BT-002,Ai governance framework (p.69),document_level_governance_discussion,"ation Officer What this category covers We must follow today’s global data regulations while anticipating and preparing for tomorrow’s. Our data and AI strategy aims to create value and enable efficiency, while giving us a robust framework for us to comply with data and AI governance and regulation",p.69,no,no,no,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-17,"Promoted from staging BT-GOV-008 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: Substantive: explicit 'data and AI governance and regulation' framework, responsible-AI risk language."
BT-GOV-008,BT Group,BT.A,Telecommunications services,BT-002,Safeguards and responsible use (p.109),document_level_governance_discussion,"pages 34 to 39. Responsible: new technology must earn trust and transform life for the better. The Committee: – provided challenge to explore how generative AI can be used to build trust, support growth and reduce risk relating to its adoption – reviewed the application of BT Group’s responsible tech princ",p.109,no,no,no,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-17,"Promoted from staging BT-GOV-010 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: Substantive Board/Committee oversight: 'The Committee: provided challenge to explore how generative AI can be used to build trust, support growth and reduce risk relating to its adoption... reviewed the application of BT Group's responsible tech principles.' Genuine, GenAI-specific Committee oversight."
BT-GOV-009,BT Group,BT.A,Telecommunications services,BT-005,Safeguards and responsible use (not_applicable),document_level_governance_discussion,"s and deliver an even more personal experience. BT Group has implemented key ethical guardrails to ensure robust data privacy and security measures. AI capabilities are hosted on a private cloud instance, ensuring compliance with data and privacy regulations, and data policies are set by BT Group’s i",not_applicable,no,no,no,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-17,"Promoted from staging BT-GOV-012 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: Substantive: 'implemented key ethical guardrails... AI capabilities are hosted on a private cloud instance, ensuring compliance with data and privacy regulations' -- genuine security/responsible-use controls tied to the Sprinklr/Aimee deployment."
RR-GOV-001,Rolls-Royce Holdings,RR,Aerospace & defence,RR-001,Safeguards and responsible use (p.112),document_level_governance_discussion,", their potential is explored, and eventual risks of disruption are mitigated. The Committee also considered the significant value opportunity for AI, the systematic approach to deliver that opportunity and the guardrails and policies in place to ensure responsible adoption. Following the reallo",p.112,no,no,no,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-17,Promoted from staging RR-GOV-003 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: Substantive Committee-level oversight: 'The Committee also considered... the guardrails and policies in place to ensure responsible adoption' of AI -- genuine Board/committee review of AI risk controls.
EXPN-GOV-001,Experian,EXPN,Support services,EXPN-004,Ai governance framework (not_applicable),document_level_governance_discussion,"client and partner AI agents within a trusted operating layer for data, decisioning, governance and control 55% of consumers say they would allow an AI agent to make an autonomous purchase on their behalf ServiceNow becomes first partner to integrate with Experian’s Agent Operating System London an",not_applicable,no,no,no,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-20,"Promoted from staging EXPN-GOV-013 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: REVIEW: confirmed as governance, not promoted to operational. Concrete lending-workflow tasks are named (fraud checks, loan approvals) but deployment_stage is explicitly planned/future ('will be available to early adopters later this year, before rolling out to more than 2,300 client solutions globally') -- fails the operational bar requiring an actual, pilot, limited-live or scaled deployment. Evidence uses 'agentic AI' terminology throughout rather than explicit 'generative AI'/'LLM'/'foundation model' language; treated as a qualifying reference for this review but noted as an interpretive judgment. Retained as governance (control/oversight/compliance framing). Consolidated with EXPN-REJ-065 and EXPN-REJ-066, which describe the same launch."
INF-GOV-001,Informa,INF,Media,INF-001,Ai governance framework (p.55),document_level_governance_discussion,"d perception and trust, and to stakeholder expectations. Additionally, we reviewed, discussed and approved both the AI Governance Charter and the Generative AI Use Policy. We were pleased to note the findings of a third-party review of the Group’s AI Governance Strategy, which had validated and commended",p.55,no,no,no,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-20,"Promoted from staging INF-GOV-007 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: REVIEW: confirmed correctly classified as governance. Explicit reference to a 'Generative AI Use Policy' and 'AI Governance Charter' reviewed/approved by the board confirms Informa has a genuine internal AI governance structure, but no operational task or deployment is described -- this is oversight/policy evidence, not an operational GenAI use case."
GSK-GOV-001,GSK plc,GSK,Pharmaceuticals & biotechnology,GSK-001,Ai governance framework (p.138),document_level_governance_discussion,"forward to updates on how the Council progresses its key focus areas, which include: – strengthening controls for more autonomous, decision-making agentic AI systems – continuing to mature governance practices across the business and – completing an external benchmarking exercise to provide independent a",p.138,no,no,unclear,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-07-20,"Promoted from staging GSK-GOV-010 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging: REVIEW: confirmed correctly classified as governance. Genuine AI Governance Council content (oversight of agentic AI systems, governance controls, guardrails) -- no operational task or deployment described, this is oversight/policy evidence."
LSEG-GOV-001,London Stock Exchange Group,LSEG,Financial services,LSEG-001,Ai governance framework (p.51),document_level_governance_discussion,"ket competitiveness – Compliance with applicable laws and regulation – Data issues – Sustainability and governance – Innovation and technology – AI and digital assets – Operational resilience – Financial stability How the Board has engaged – The Board considers policy, regulatory developments",p.51,no,no,no,no,no,unclear,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-08-04,"Promoted from staging LSEG-GOV-001 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging:  REVIEW: genuine AI-governance/oversight disclosure (Board briefings, Responsible AI Framework, governance controls, or the AR's own LLM glossary definition)."
LSEG-GOV-002,London Stock Exchange Group,LSEG,Financial services,LSEG-001,Ai governance framework (p.67),document_level_governance_discussion,"egularly reviews the need for additional training and focused briefings on key topics. During 2025, the Board participated in sessions relating to artificial intelligence strategy and governance as well as new sustainability reporting regulations. The strategic partnership with Microsoft was discussed at every Boar",p.67,yes,no,no,no,no,unclear,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-08-04,"Promoted from staging LSEG-GOV-002 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging:  REVIEW: genuine AI-governance/oversight disclosure (Board briefings, Responsible AI Framework, governance controls, or the AR's own LLM glossary definition)."
LSEG-GOV-003,London Stock Exchange Group,LSEG,Financial services,LSEG-001,Ai governance framework (p.199),document_level_governance_discussion,"funds, closed-end funds (CEFs), exchange- traded funds (ETFs), hedge funds, domestic retirement funds, pension funds, and insurance products. LLM Large language model. London Stock Exchange Group plc | Annual Report 2025 197 Financial Statements Additional InformationGovernanceStrategic Report",p.199,no,no,no,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-08-04,"Promoted from staging LSEG-GOV-003 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging:  REVIEW: genuine AI-governance/oversight disclosure (Board briefings, Responsible AI Framework, governance controls, or the AR's own LLM glossary definition)."
LSEG-GOV-004,London Stock Exchange Group,LSEG,Financial services,LSEG-002,Ai governance framework (p.79),document_level_governance_discussion,"ata issues including localisation, privacy, sovereignty and regulation; sustainability and governance matters; innovation and technology, including artificial intelligence and digital assets; and resilience and financial stability, including clearing, cloud and operational resilience. How this engagement influenced Boa",p.79,no,no,no,no,no,unclear,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-08-04,"Promoted from staging LSEG-GOV-004 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging:  REVIEW: genuine AI-governance/oversight disclosure (Board briefings, Responsible AI Framework, governance controls, or the AR's own LLM glossary definition)."
LSEG-GOV-005,London Stock Exchange Group,LSEG,Financial services,LSEG-002,Ai governance framework (p.92),document_level_governance_discussion,"d, managed and reported through the risk framework. We are aligned with industry best practices and guidance when considering the increased use of AI and distributed ledger technology. As part of our Responsible AI Framework, we have implemented specific governance to oversee the use of AI bot",p.92,no,no,no,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-08-04,"Promoted from staging LSEG-GOV-005 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging:  REVIEW: genuine AI-governance/oversight disclosure (Board briefings, Responsible AI Framework, governance controls, or the AR's own LLM glossary definition)."
LSEG-GOV-006,London Stock Exchange Group,LSEG,Financial services,LSEG-005,Ai governance framework (not_applicable),document_level_governance_discussion,"grade governance. This ensures every AI interaction is accurate, auditable, and secure. Data readiness matters: clean, structured data enables strong LLM performance. User-first design, shaped by customer input, drives adoption. Why it matters The spread of AI and new applications is democratising da",not_applicable,no,no,no,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-08-04,"Promoted from staging LSEG-GOV-006 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging:  REVIEW: genuine AI-governance/oversight disclosure (Board briefings, Responsible AI Framework, governance controls, or the AR's own LLM glossary definition)."
LSEG-GOV-007,London Stock Exchange Group,LSEG,Financial services,LSEG-003,Ai governance framework (not_applicable),document_level_governance_discussion,"uild sophisticated agents with ease, using frontier AI models in a fully managed SaaS experience that supports a wide range of enterprise connectors. Copilot Studio empowers organisations with robust governance controls and is natively integrated into Microsoft 365 Copilot, enabling secure and compliant cu",not_applicable,no,no,no,no,no,no,"Governance/oversight framework discussion, not attributed to any individual use case -- not itself an operational deployment.",human,2026-08-04,"Promoted from staging LSEG-GOV-007 (reviewer_decision=accept). Boolean control fields (human_involvement_discussed/accuracy_or_hallucination_discussed/environmental_limitation_discussed) are PROPOSED from keyword-adjacent language ('accountable'/'explainable'/'sustainable') and flagged 'unclear' rather than guessed yes/no -- pending human confirmation. reviewer_notes at staging:  REVIEW: genuine AI-governance/oversight disclosure (Board briefings, Responsible AI Framework, governance controls, or the AR's own LLM glossary definition)."
