finding_id,company,ticker,sector,source_id,item_name,evidence_quotation,page_or_section,rejection_category,reason_rejected,coded_by,coded_date,notes
TSCO-REJ-003,Tesco,TSCO,Food & drug retailing,TSCO-001,Delivery route optimisation AI (p.17),"are discounting the right products at the right time, helping customers to get the best value and enabling us to reduce food waste. – We utilise AI to optimise the routes our drivers take, finding the most efficient combination of products, baskets and journeys for every lorry and delivery van,",p.17,predictive_ml_not_genai,"Correctly rejected: route optimisation, a predictive/optimisation task, not generative AI.",human,2026-07-17,Promoted from staging TSCO-REJ-003 (reviewer_decision=accept).
TSCO-REJ-004,Tesco,TSCO,Food & drug retailing,TSCO-001,Robotic process automation (p.19),"4/25. – Continued progress across all areas, including goods & services not for resale, operations, property and central overheads. – New robotic automation implemented at our Peterborough distribution centre, with Aylesford semi-automated distribution centre on track to open in summer 2025. – End-to-",p.19,ordinary_automation_not_genai,"Correctly rejected: robotic automation, not generative AI.",human,2026-07-17,Promoted from staging TSCO-REJ-004 (reviewer_decision=accept).
TSCO-REJ-005,Tesco,TSCO,Food & drug retailing,TSCO-001,Ordinary automation tool/process (p.32),"ssets, as well as investing in growth, such as our online customer proposition, and delivering efficiencies across our operations, including further automation within our distribution and fulfilment centres. We continue to see attractive opportunities to commit capital to high-returning investments, and exp",p.32,ordinary_automation_not_genai,"Correctly rejected: ordinary automation; nearby 'opportunities' language refers to capital investment, not AI capability-building.",human,2026-07-17,Promoted from staging TSCO-REJ-005 (reviewer_decision=accept).
TSCO-REJ-006,Tesco,TSCO,Food & drug retailing,TSCO-001,Predictive refrigeration heat-identification tool (p.34),ity Report. Reduce store emissions We continue to work towards reaching our goal of carbon neutral operations by 2035. We’re now using the latest AI technology to identify and repurpose heat from refrigeration systems to lower our energy use and saving energy by installing doors on fridges i,p.34,predictive_ml_not_genai,"Correctly rejected: predictive heat-identification for energy operations, not generative AI.",human,2026-07-17,Promoted from staging TSCO-REJ-006 (reviewer_decision=accept).
TSCO-REJ-007,Tesco,TSCO,Food & drug retailing,TSCO-001,Predictive/personalisation AI feature (p.73),"ing. This will also support our customers through health and wellness initiatives. We continue to enhance our data analytics insight and the use of AI to better understand our customers and deliver them more personalised offers, to improve outputs from customer feedback and assist with demand forec",p.73,predictive_ml_not_genai,Correctly rejected: concrete predictive personalisation and demand-forecasting task takes priority over the incidental 'data analytics insight' phrase; not qualifying GenAI evidence.,human,2026-07-17,Promoted from staging TSCO-REJ-007 (reviewer_decision=accept).
TSCO-REJ-008,Tesco,TSCO,Food & drug retailing,TSCO-001,Robotic process automation (p.73),"tinue to build our capabilities to support delivery of our longer-term objectives through investments in our people and technology, including robotic automation to streamline operations, improve efficiency and support our commitment to deliver a seamless shopping experience for our customers. We have partner",p.73,ordinary_automation_not_genai,"Correctly rejected: robotic automation, not generative AI.",human,2026-07-17,Promoted from staging TSCO-REJ-008 (reviewer_decision=accept).
TSCO-REJ-009,Tesco,TSCO,Food & drug retailing,TSCO-001,Ordinary automation tool/process (p.86),"ongoing basis the processes undertaken by management to continue to enhance its control environment, including its roadmap to increase the level of automation and its expanded centralisation of control activities, including at Tesco Business Services (TBS) and Central Europe. The Group’s internal controls",p.86,ordinary_automation_not_genai,"Correctly rejected: internal-controls automation roadmap, not generative AI.",human,2026-07-17,Promoted from staging TSCO-REJ-009 (reviewer_decision=accept).
TSCO-REJ-010,Tesco,TSCO,Food & drug retailing,TSCO-001,Ordinary automation tool/process (p.87),"gth of TBS’s service delivery model and strategic alignment, the function’s evolution in maturity and scope, the continued adoption and impact of automation and the expertise and capabilities of our TBS talent. The TBS team continue to contribute core value to the business in terms of cash, impact on",p.87,ordinary_automation_not_genai,"Correctly rejected: ordinary automation adoption, not generative AI.",human,2026-07-17,Promoted from staging TSCO-REJ-010 (reviewer_decision=accept).
TSCO-REJ-011,Tesco,TSCO,Food & drug retailing,TSCO-001,Audit/risk analytics and machine learning (p.89),"lves a collaborative approach across the three lines of defence. By integrating data analytics, continuous monitoring and artificial intelligence (AI) into the audit process, internal audit can provide greater insights and assurance to the business. The Group’s internal audit team has expande",p.89,general_ai_not_genai,"Correctly rejected: audit analytics/ML, not generative AI.",human,2026-07-17,Promoted from staging TSCO-REJ-011 (reviewer_decision=accept).
TSCO-REJ-012,Tesco,TSCO,Food & drug retailing,TSCO-001,Audit/risk analytics and machine learning (p.91),"ontinuous monitoring into audit processes to facilitate valuable, timely insights and provide greater assurance to the business. Early adoption of Artificial Intelligence and analytics has helped streamline audit and risk activities. First and second line have adopted continuous monitoring tools initially developed",p.91,general_ai_not_genai,"Correctly rejected: audit analytics, not generative AI.",human,2026-07-17,Promoted from staging TSCO-REJ-012 (reviewer_decision=accept).
TSCO-REJ-013,Tesco,TSCO,Food & drug retailing,TSCO-002,PDF extraction artefact (not a genuine AI mention) (p.17),"omer home delivery vans, now at 571; fleet to be fully electric in the UK by 2030 Save to invest A cost-efficient retailer Why is it important? — Ai ming to simplify, be more productive and reduce costs — Fo cus on offsetting inflation in the medium term and creating headroom to fund investments",p.17,extraction_artifact_not_a_genuine_mention,"Correctly rejected: confirmed pypdf word-splitting artefact ('Aiming' split into 'Ai ming'), not a genuine AI mention.",human,2026-07-17,Promoted from staging TSCO-REJ-013 (reviewer_decision=accept).
TSCO-REJ-014,Tesco,TSCO,Food & drug retailing,TSCO-002,"Vague, unqualified 'AI' reference (p.68)","38 to 45 Technology updates providing an overview of operational stability, technical capability, transformation, cyber security and the use of AI in our business. Participation in a cyber crisis management event. We continue to operate our environments with high operational stability. Updat",p.68,general_ai_not_genai,"Correctly rejected: vague, unqualified mention of 'the use of AI in our business' with no concrete task or capability described.",human,2026-07-17,Promoted from staging TSCO-REJ-014 (reviewer_decision=accept).
TSCO-REJ-015,Tesco,TSCO,Food & drug retailing,TSCO-002,Ordinary automation tool/process (p.70),"where Tesco operate trains to Scotland, the North East, Wales and the South East, a tour around the distribution centre which included examples of automation; and the security hub which monitors our stores and distribution centres making sure they are safe and secure; — Ba r Hill, Reading and Lakeside u",p.70,ordinary_automation_not_genai,"Correctly rejected: ordinary automation example, not generative AI.",human,2026-07-17,Promoted from staging TSCO-REJ-015 (reviewer_decision=accept).
TSCO-REJ-016,Tesco,TSCO,Food & drug retailing,TSCO-002,Audit/risk analytics and machine learning (p.91),"tionary dynamics and extraordinary cost pressures has been critical in the business decisions taken. The Committee will devote time to focus on how AI tools can be implemented to enhance reporting, risk management and audit work. Early uses include the use of AI to identify emerging risks and tra",p.91,general_ai_not_genai,"Correctly rejected: audit/risk analytics, not generative AI.",human,2026-07-17,Promoted from staging TSCO-REJ-016 (reviewer_decision=accept).
BT-REJ-001,BT Group,BT.A,Telecommunications services,BT-005,Website navigation/footer/CMS boilerplate (not_applicable),===== HTML DOCUMENT ===== Source file: BT.A_company_press_release_bt-group-leans-on-ai-to-transform-customer-service-experienc_2024-12-12.html Title: BT Group leans on AI to transform customer service experience Skip to main content S,not_applicable,webpage_boilerplate_not_evidence,"Correctly rejected as 'webpage_boilerplate' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-001 (reviewer_decision=accept).
BT-REJ-002,BT Group,BT.A,Telecommunications services,BT-004,Website navigation/footer/CMS boilerplate (not_applicable),"rm-powe_2024-09-24.html Title: BT Group’s Digital Unit launches ‘GenAI Gateway’ platform, powered by AWS, accelerating the company’s safe adoption of generative AI at scale Skip to main content Skip to main content Skip to primary navigation Skip to search Skip to footer For the home For UK and global busine",not_applicable,webpage_boilerplate_not_evidence,"Correctly rejected as 'webpage_boilerplate' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-002 (reviewer_decision=accept).
BT-REJ-003,BT Group,BT.A,Telecommunications services,BT-006,Website navigation/footer/CMS boilerplate (not_applicable),ow so we can improve the quality of the content on our pages. Yes No Create an AWS account Learn What Is AWS? What Is Cloud Computing? What Is Agentic AI? Cloud Computing Concepts Hub AWS Cloud Security What's New Blogs Press Releases Resources Getting Started Training AWS Trust Center AWS So,not_applicable,webpage_boilerplate_not_evidence,"Correctly rejected as 'webpage_boilerplate' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-003 (reviewer_decision=accept).
BT-REJ-004,BT Group,BT.A,Telecommunications services,BT-001,"Vague, unqualified 'AI' reference (p.9)","Global Fabric. This world-first allows major organisations to make changes to their connectivity at lightning speed, providing people, devices and AI platforms with flexible connectivity to apps and data hosted across multiple cloud providers. These are just some of the ways that we’re bringin",p.9,general_ai_not_genai,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-004 (reviewer_decision=accept).
BT-REJ-005,BT Group,BT.A,Telecommunications services,BT-001,"Vague, unqualified 'AI' reference (p.10)","migrating customers from legacy, high-cost fragmented networks and products to low-touch, automated software-driven services, powered by data and AI. During the year we migrated 1.2m customers off our legacy public switched telephone network (PSTN), with 1,200 of our people across the UK engage",p.10,general_ai_not_genai,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-005 (reviewer_decision=accept).
BT-REJ-006,BT Group,BT.A,Telecommunications services,BT-001,Predictive/optimisation AI (network performance/maintenance) (p.16),"equires ongoing investment in cutting edge, capital-intensive communications technology to make sure networks can support the latest innovations. AI continues to enhance efficiency, productivity and customer experience. We use it to do things like optimise our network performance, predict maint",p.16,predictive_ml_not_genai,"Correctly rejected as 'predictive_optimisation' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-006 (reviewer_decision=accept).
BT-REJ-007,BT Group,BT.A,Telecommunications services,BT-001,Ordinary automation tool/process (p.19),",000 customer conversations per week, freeing time for guides to focus on more complex issues. – ‘Service Now’ (a third-party cloud-based workflow automation platform) now supports more than 25,419 Business customers, giving then a better, more streamlined BT experience. – We’ve migrated around 98% of o",p.19,ordinary_automation_not_genai,"Correctly rejected as 'ordinary_automation' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-007 (reviewer_decision=accept).
BT-REJ-008,BT Group,BT.A,Telecommunications services,BT-001,AI Ops network self-healing automation (p.19),"I solutions ‘in production’, 90 AI-enhanced third-party applications deployed across our digital estate, more than 48,000 employees actively using AI productivity tools. – We’ve rolled out AI Ops. Which enables technology to ‘self-heal’ when problems crop up. This year it fixed an average of 2",p.19,ordinary_automation_not_genai,"Correctly rejected as 'predictive_automation_network_ops' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-008 (reviewer_decision=accept).
BT-REJ-009,BT Group,BT.A,Telecommunications services,BT-001,"Vague, unqualified 'AI' reference (p.19)","– We’ve streamlined customer ordering systems by giving our teams more of the information they need to deliver excellent service. – Use of our Gen-AI enabled EE virtual assistant Aimee has made it easier for customers to prepare for international travel, halving the need for online support. Aim",p.19,general_ai_not_genai,"Correctly excluded from operational staging: this passage's 'Gen-AI enabled EE virtual assistant Aimee... halving the need for online support' detail already corroborates the accepted BT-OP-003 (Sprinklr/Aimee) candidate rather than describing a separate use case. Classification label 'vague' understates it, but the disposition (stay out of operational as a duplicate) is correct.",human,2026-07-17,Promoted from staging BT-REJ-009 (reviewer_decision=accept).
BT-REJ-010,BT Group,BT.A,Telecommunications services,BT-001,Named GenAI product with no concrete qualifying task described (p.27),ngaged with the workplace adjustment process to make sure they had the right adjustments to enable them to succeed at BT Group. We have rolled out Copilot for colleagues who can benefit from this as a workplace adjustment. We’ve also reviewed and improved our Recruitment and Onboarding processes to,p.27,insufficient_operational_detail,"Correctly rejected as 'insufficient_operational_detail' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-010 (reviewer_decision=accept).
BT-REJ-011,BT Group,BT.A,Telecommunications services,BT-001,"Vague, unqualified 'AI' reference (p.31)","– attended the BSR Tech Against Trafficking Summit to understand how to use tech to fight human trafficking – focusing on supply chain data, using AI and stopping tech-facilitated trafficking. BT Group plc Annual Report 2025 29 Strategic report",p.31,general_ai_not_genai,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-011 (reviewer_decision=accept).
BT-REJ-012,BT Group,BT.A,Telecommunications services,BT-001,"Vague, unqualified 'AI' reference (p.32)","g broadband and mobile account controls – enhanced PhoneSmart, our online learning platform – adding safety guidelines for parents on issues, like AI and recognising deepfakes. PhoneSmart has now reached over 10,400 learners, with around 3,800 licences issued to those who’ve completed all modul",p.32,general_ai_not_genai,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-012 (reviewer_decision=accept).
BT-REJ-013,BT Group,BT.A,Telecommunications services,BT-001,Game-theory/negotiation automation agent (p.42),"us, our customers and the wider community. BT Sourced highlights this year: – We grew our partnership with start-up Nnamu – using its game theory AI-based agent to recommend negotiation strategies and negotiate autonomously. This is saving us time and money. – Our in-house negotiation analytics",p.42,predictive_ml_not_genai,"Correctly rejected as 'predictive_automation_negotiation_agent' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-013 (reviewer_decision=accept).
BT-REJ-014,BT Group,BT.A,Telecommunications services,BT-001,"Vague, unqualified 'AI' reference (p.42)","y 2021, BT Sourced is our procurement arm. It focuses on creating more digital and sustainable procurement through cutting- edge technologies like AI and robotics. BT Sourced boosts our efficiency and productivity. It also fosters better collaboration with suppliers and partners – which delivers",p.42,general_ai_not_genai,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-014 (reviewer_decision=accept).
BT-REJ-015,BT Group,BT.A,Telecommunications services,BT-001,"Vague, unqualified 'AI' reference (p.55)","driving these results – including improvements to how we engage with customers. We’re giving them more flexibility to book appointments and using AI to streamline how we manage complex issues. Of course we can still improve our operations, and we’re continuing to develop new solutions which de",p.55,general_ai_not_genai,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-015 (reviewer_decision=accept).
BT-REJ-016,BT Group,BT.A,Telecommunications services,BT-001,"Vague, unqualified 'AI' reference (p.58)",arket share. – Increasing competitive intensity in our core markets may reduce our market share. Emerging risk: – Failure to harness potential from artificial intelligence and quantum technologies to generate greater commercial opportunities and efficiencies. Examples of what we do to manage these risks – We research,p.58,general_ai_not_genai,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-016 (reviewer_decision=accept).
BT-REJ-017,BT Group,BT.A,Telecommunications services,BT-001,"Vague, unqualified 'AI' reference (p.60)","ct Authority’s (FCA) Consumer Duty regulation. – Our compliance programme offers guidance and training, and tests our regulatory controls. Data and AI Sponsor: Chief Security and Networks Officer Enduring risks this category covers We must follow today’s global data and AI regulations while anticip",p.60,general_ai_not_genai,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-017 (reviewer_decision=accept).
BT-REJ-018,BT Group,BT.A,Telecommunications services,BT-001,Ordinary automation tool/process (p.61),"dscape. – We run communications, engagement and training for our colleagues. – We keep investing in cyber defences and security tools, shifting to automation where appropriate. BT Group plc Annual Report 2025 59 Strategic report",p.61,ordinary_automation_not_genai,"Correctly rejected as 'ordinary_automation' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-018 (reviewer_decision=accept).
BT-REJ-019,BT Group,BT.A,Telecommunications services,BT-001,"Vague, unqualified 'AI' reference (p.61)","actors could use malware to penetrate our existing security controls, including legacy assets, – disrupting customers’ services. Emerging risk: – AI and machine learning advances might create opportunities to harm us and our customers. Examples of what we do to manage these risks – Our security",p.61,general_ai_not_genai,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-019 (reviewer_decision=accept).
BT-REJ-020,BT Group,BT.A,Telecommunications services,BT-001,"Vague, unqualified 'AI' reference (p.63)",create risks around fulfilling existing contractual commitments – and might hamper our ability to deliver our business strategy. Emerging risk: – AI’s increasing prominence may affect our ability to deliver on our customer promises. Examples of what we do to manage these risks – Our clear govern,p.63,general_ai_not_genai,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-020 (reviewer_decision=accept).
BT-REJ-021,BT Group,BT.A,Telecommunications services,BT-001,"Vague, unqualified 'AI' reference (p.78)","t, Steven held a variety of senior roles spending more than half of his tenure as a Corporate Vice President leading the OEM, Developer/ ISV, and AI Solutions organisations. Prior to joining Microsoft, Steven worked at Spectra-Physics Lasers. Relevant skills and contribution to the Board Acco",p.78,general_ai_not_genai,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-021 (reviewer_decision=accept).
BT-REJ-022,BT Group,BT.A,Telecommunications services,BT-001,"Vague, unqualified 'AI' reference (p.82)","ted Adastral Park along with Ruth Cairnie, Alex Chisholm and Steven Guggenheimer. The visit focused on network technology innovations, security and AI and they met with a number of colleagues throughout the day. See page 87 for more information. In February 2025, Maggie and Alex visited our Tynesi",p.82,general_ai_not_genai,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-022 (reviewer_decision=accept).
BT-REJ-023,BT Group,BT.A,Telecommunications services,BT-001,"Vague, unqualified 'AI' reference (p.87)","ted Adastral Park, our hub for research and development. They visited a Networks Operations Centre, a Network Cloud Data Centre, Openreach and Data/AI labs and went on an innovation showcase tour. They met colleagues working in a variety of research and development roles, and had the opportunity t",p.87,general_ai_not_genai,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-023 (reviewer_decision=accept).
BT-REJ-024,BT Group,BT.A,Telecommunications services,BT-002,Ordinary automation tool/process (p.9),"le organisations to seamlessly and securely connect to multiple clouds and seize the advantages of digital automation and artificial intelligence (AI), and we’ve also launched new customer solutions via collaborations with companies such as Google, SAP and Microsoft. These are reflected in stro",p.9,ordinary_automation_not_genai,"Correctly rejected as 'ordinary_automation' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-024 (reviewer_decision=accept).
BT-REJ-025,BT Group,BT.A,Telecommunications services,BT-002,"Vague, unqualified 'AI' reference (p.11)","lly simplifying our product and customer journeys by partnering with leading technology players and responsibly adopting new technologies such as AI to enable customer benefits and business growth. In October, we launched our new integrated EE digital platform to drive convergence. This includ",p.11,general_ai_not_genai,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-025 (reviewer_decision=accept).
BT-REJ-026,BT Group,BT.A,Telecommunications services,BT-002,"Vague, unqualified 'AI' reference (p.19)","ng us work smarter and faster to develop truly personalised solutions for customers and operate more efficiently across the group. And the better generative AI technologies get, the more valuable our vast data assets become. BT Group plc Annual Report 2024 15 Strategic report",p.19,general_ai_not_genai,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere.",human,2026-07-17,Promoted from staging BT-REJ-026 (reviewer_decision=accept).
