staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
SMT-REJ-011,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.29,AI,B,1,oudflare Delivery Hero Ferrari Horizon Robotics Kering Kinnevik Meituan Dianping MercadoLibre Moderna Netflix NVIDIA Spotify Technology SA Tempus AI Inc Tesla Inc Wise Plc New buys Additions Private company follow-on rounds ARCH Ventures Fund XIII BYD Enveda Hermes International Nu Holdings Re,no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-012,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.30,AI,B,2,ll companies and themes. Evolution of Transport Healthcar e Inno vation Luxu ry Br ands Digitalisation of Commerce Digitalisation of Finance Cloud & AI Infr astructur e Enablers of AI& C omput e Digitalisation of Finance The Future of Advertising & Entertainment Emer ging Technologies olution nsport ||| ntertainment Emer ging Technologies olution nsport Healthca re nno vation xury Br andddsss Digitalisation of Commerce italisation of Finance Cloud & AI Infr astructu En ab le & Co mp tion tion sation sation sa sa li s tal tal Digita ta Digit Digita in nance n na n n n i Fi Fin Fi Fin of Fi Fin f Fi,no,no,vague_general_ai_reference,DUPG-005,rejected,,
SMT-REJ-013,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.31,AI,B,1,"orm provider 319,098 2.3 21.1 194,841 NVIDIA Semiconductor company that designs and sells advanced chips 312,137 2.3 16.8 1,142,723 Tempus AI Inc Offers molecular diagnostics tests for cancer and aggregates clinical oncology records 276,090 2.0 51.9 210,815 Sea Consumer internet comp",no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-014,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.32,AI,B,1,"March 2025 £132m of new capital was deployed in private companies during the year (2024 – £109.4m). Udacity was taken-over during the period. Tempus AI Inc, Bolt Projects Holdings and Horizon listed during the period. 8 Takeover 39 Listed 51 Currently held* 1 Liquidated 0 1,400 1,000 1,200 800 600 20",no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-015,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.33,AI,B,1,urities as a % of total assets (right hand axis) * See Glossary of terms and Alternative Performance Measures on pages 119 to 121. Wise Plc Tempus AI Inc Spotify Technology SA Snowﬂake Inc Sana Biotechnology Inc Recursion Pharmaceuticals Inc Oddity Meituan Joby Aviation Inc Horizon Robotics Inc Gin,no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-016,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.34,AI,B,1,"ace Inc, Uptake Technologies Inc and on distributions from limited partnership investment funds. † During the period, Bolt Projects Holdings, Tempus AI Inc and Horizon (book cost – £51,643,000, £159,627,000 and £37,062,000 respectively) were transferred from Level 3 to Level 1 on becoming listed (20",no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-017,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.36,AI;generative AI,A;B,3,"ty to current and former employees at a valuation of $91.5bn. The Brandtech Group Brandtech Group is now classified as being the world’s number 1 generative AI marketing company having creating 1 million ads for over 5,000+ brands and has recently been named as one of Fast Companies most Innovative Compa ||| company Founder, David Jones, was quoted as saying: “The EBITDA (Earnings before interest, taxes, depreciation, and amortisation) profile of the generative AI marketing company is better than the EBITDA profile of the digital marketing company. It goes without saying, we will be able to do more for less. ||| nd transaction volumes for cryptocurrencies continue to grow. During the year, Stripe also expanded its partnership with NVIDIA to enhance Stripe’s AI powered capabilities and expand their access to NVIDIA’s AI platform. Stripe processed $1.4tn in payment volume in 2024, a 38% increase vs 2023. T",no,no,vague_general_ai_reference,DUPG-006,rejected,,
SMT-REJ-018,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.38,AI,B,2,"announced a partnership that will redefine how applications and data platforms work together bringing together SAP’s applications with Databricks AI capabilities. In October 2024, Databricks announced a strategic collaboration agreement (SCA) with Amazon Web Services (AWS) whereby Databricks wi ||| d a strategic collaboration agreement (SCA) with Amazon Web Services (AWS) whereby Databricks will leverage AWS’s Trainium chips as the preferred AI chip to power Mosaic AI model training. During the year, Databricks expanded its presence globally, including a $300m investment into Saudi Arabia",no,no,vague_general_ai_reference,DUPG-007,rejected,,
SMT-REJ-019,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.39,AI,B,1,gies 7.8 Amazon.com 10 5.6 Bytedance Ltd. 4.2 PDD Holdings 3.9 Spotify 3.4 Meituan 2.9 Ferrari 2.9 ASML 10 2.8 Wise 2.4 Shopify 2.3 NVIDIA 2.3 Tempus AI Inc 2.0 Netflix 1.9 Aurora 1.9 Zipline 1.3 Affirm 1.0 Atlas Copco 10 1.0 The Brandtech Group 0.9 Name % of total assets Sinovation Fund III 0.1 San,no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-020,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.41,AI,B,1,"ficant purchase 194,841 NVIDIA Semiconductor company that designs and sells advanced chips 312,137 2.3 Significant reduction 1,142,723 Tempus AI Inc Offers molecular diagnostics tests for cancer and aggregates clinical oncology records 276,090 2.0 210,815 Sea Consumer internet company",no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-021,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.43,machine learning,B,1,"rnational Luxury goods 77,700 0.6 New purchase – Revolut Neobank 77,474 0.6 New purchase – Recursion Pharmaceuticals Inc Uses image recognition/machine learning and automation to improve drug discovery 74,345 0.5 126,254 Denali Therapeutics Biotechnology 68,780 0.5 106,010 Nuro Inc Series C Pref. Del",no,no,ordinary_automation,,rejected,,
SMT-REJ-022,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.43,AI,B,1,"Operates an online food ordering and food delivery platform 88,614 0.6 Significant reduction 156,709 Horizon Robotics Designer and developer of AI chips and algorithms principally for advanced driving assistance systems and autonomous vehicles 87,364 0.6 62,752 Nu Holdings Latin American",no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-023,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.52,AI,B,1,"elevated but stable due to the continuation of geopolitical tensions that could lead to more cyber attacks. Emerging technologies, including AI, could potentially increase information security risks. In addition, service providers operate a hybrid approach of remote and office working,",no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-024,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.94,AI,B,1,"e rights – – 3,079 3,079 Total financial asset investments 10,370,152 – 3,748,379 14,118,531 During the period, Bolt Projects Holdings, Tempus AI Inc and Horizon (book cost – £51,643,000, £159,627,000 and £37,062,000 respectively) were transferred from Level 3 to Level 1 on becoming listed (20",no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-025,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2025,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,,annual_report_current,company_primary,p.95,AI,B,1,"n page 86. A sensitivity analysis by valuation technique of the unlisted securities is on page 105. During the year, Bolt Projects Holdings, Tempus AI Inc and Horizon (bookcost – £51,643,000, £159,627,000 and £37,062,000 respectively) were transferred from Level 3 to Level 1 on becoming listed (202",no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-026,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2024,SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf,,annual_report_previous,company_primary,p.6,AI,B,2,"g forces have been pulling investors in different directions. There is a sense of optimism regarding the integration of Artificial Intelligence (‘AI’) into business models. Meanwhile, the macroeconomic and geopolitical factors driving market anxiety are too numerous to mention. Much of this was ||| to mention. Much of this was reflected in unusual patterns of stock market returns. Gains were highly concentrated, driven by a handful of large AI enabled companies in the US, augmented by beneficiaries of strong energy prices and high interest rates. Scottish Mortgage remains well position",no,no,vague_general_ai_reference,DUPG-009,rejected,,
SMT-REJ-027,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2024,SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf,,annual_report_previous,company_primary,p.8,AI,B,1,"ors of your Company. Outlook Change drives growth. The pace and scope of transformation is accelerating, in many cases fuelled by the adoption of AI. History has shown, in such conditions, a small number of exceptional companies drive change and dominate stock market returns. Your Managers poss",no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-028,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2024,SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf,,annual_report_previous,company_primary,p.9,generative AI,A,1,"for some of the world’s big growing economies to seek alternatives to dollar-denominated trade. Ongoing disruptions from technology (particularly generative AI, covered by my partner Lawrence Burns later in this report), climate change, and geopolitics will force continued economic transformation. Optimisa",no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-029,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2024,SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf,,annual_report_previous,company_primary,p.10,AI,B,2,"ns, which has been an important driver of our returns. Without NVIDIA’s silicon or software, we would not be seeing such remarkable progress from AI systems. Our key consideration is the duration of the edge it has built over the competition. ASML, the Dutch manufacturer of the lithography equi ||| titive advantages we’ve ever encountered. Its innovations are the central enablers of miniaturisation in semiconductors. Growth in datacentres and AI applications augment the growing demand for chips in many industries. At the same time, chips are getting bigger, and the desire for greater sove",no,no,vague_general_ai_reference,DUPG-010,rejected,,
SMT-REJ-030,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2024,SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf,,annual_report_previous,company_primary,p.11,AI,B,3,"n improvement. The growth opportunities are exciting, and both exemplify the types of businesses that seem likely to benefit from developments in AI. We are seeing many companies invest in AI systems to improve their operations but for investors, there is an essential question of whether this g ||| ional returns or ends up being a zero-sum game. Spotify is a platform business that benefits from the breadth and scale of content on its platform. AI will likely lead to an explosion in available content, improving its economics in a way that others cannot mitigate. If AI revolutionises how we p ||| werful source of competition and pricing pressure. All of this may be irrelevant to the long-term investment story. Tesla’s massive investment in AI looks to be paying off with the rapid improvement in its self-driving software. User reports on the latest version, now entirely AI-controlled, are",no,no,vague_general_ai_reference,DUPG-011,rejected,,
SMT-REJ-031,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2024,SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf,,annual_report_previous,company_primary,p.12,AI,B,1,"cancer patients is impressive, and potential applications of the approach continue to multiply. Spotify is a likely beneficiary of developments in AI. © Shutterstock / Lukmanazis. There is a lot to be excited about. Artificial intelligence, digitalisation, scientific and engineering progress, and",no,no,vague_general_ai_reference,,rejected,,
SMT-REJ-032,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2024,SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf,,annual_report_previous,company_primary,p.13,AI;GPT;artificial intelligence,A;B,9,"Each parameter is a variable that the model can adjust during the training to better predict outcomes. In 2018, when talking to Professor Arthur, GPT-1 had just been released, and it had 100 million parameters. Earlier this year, OpenAI released GPT-4, which is believed to have 1.7 trillion param ||| Professor Brian Arthur, one of the world’s most influential thinkers on technology and the economy. He told me he thought artificial intelligence (AI) would be the most significant invention since the Gutenberg printing press. It was quite a statement, given that the printing press was invented ||| r before. It powered the Scientific Revolution, the Reformation, and countless political revolutions. Its impact was profound and immeasurable. AI has the potential to impact the world similarly, but instead of externalising information, it is externalising intelligence. Making it available at ||| entify a cancerous tumour. Given that you can do even more with intelligence than you can with information, Brian Arthur concluded that, logically, AI’s impact should be even more significant than the printing press. Fast-forward nearly six years, and his views look increasingly prescient. The la ||| pact should be even more significant than the printing press. Fast-forward nearly six years, and his views look increasingly prescient. The latest AI models now very nearly match or exceed human performance in a growing number of tasks, including image classification, reading comprehension, visu ||| soning and competition-level mathematics. The progress in surpassing human performance benchmarks has been so fast that the editor-in-chief of the AI Index recently commented that a decade ago, benchmarks would serve the AI community for five-to-ten years, but now they often become irrelevant i ||| rrelevant in just a few years. This pace of progress has been made possible by the continued exponential improvement of the three inputs that drive AI performance: compute, data and algorithms. A way of measuring these improvements is the number of parameters a model has. Each parameter is a varia ||| lion parameters, demonstrating the rapid change in model size and complexity in just a few years. When considering investment opportunities within AI, it can be helpful to divide them into three layers: hardware, infrastructure, and applications. Scottish Mortgage is invested in companies invol ||| 11 SCOTTISH MORTGAGE INVESTMENT TRUST PLC STRATEGIC REPORT Manager review – Lawrence Burns Peeling Back the Layers of Artificial Intelligence: In the summer of 2018, I was fortunate to spend two full days in Palo Alto talking with Professor Brian Arthur, one of the world’s most influenti",no,no,vague_general_ai_reference,DUPG-012,rejected,,
SMT-REJ-033,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2024,SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf,,annual_report_previous,company_primary,p.14,AI;generative AI,A;B,7,"I. In this layer, since 2016, we have owned NVIDIA, the leading designer of AI chips. The company has a dominant position, with 90 per cent of all generative AI models trained on its chips. It is the critical enabler of AI. However, NVIDIA only designs its chips, it needs others to fabricate them. For this ||| trained. That cost is expected to rise to between $5 billion and $10 billion for the latest models in 2025 and 2026, which Ninety per cent of all generative AI models are trained on NVIDIA chips. © Shutterstock / Nor Gal. ||| to ensure they are built in the US. TSMC can be thought of as a royalty on global computing power, just as NVIDIA can be thought of as a royalty on AI. To help make chips, TSMC requires a particularly crucial piece of equipment: lithography machines. For these, it relies on another of our longst ||| chips to be made containing tens of billions of transistors. To different extents, all three of these hardware companies benefit from the rise of AI while possessing dominant and near-impregnable competitive positions. The founder of OpenAI, Sam Altman is understandably evangelistic and has gon ||| ure. Here, we have the cloud service providers that buy NVIDIA’s chips and offer scalable, on-demand access allowing companies to train and deploy AI models without the overhead of building their own infrastructure. In essence, the cloud service providers democratise access to both computing and ||| ates Amazon Web Services, the largest cloud service provider in the world. There are also companies that are building large foundational models for AI. Foundational models are trained on broad datasets (ie large swathes of the internet) that can be used to perform a wide variety of tasks. They ar ||| of the internet) that can be used to perform a wide variety of tasks. They are also commonly used as the base upon which to build more specialised AI models. These foundational models have become so large and complex that the computing power and energy required to train them is making them incre",no,no,vague_general_ai_reference,DUPG-013,rejected,,
SMT-REJ-034,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2024,SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf,,annual_report_previous,company_primary,p.15,AI;GPT;artificial intelligence,A;B,15,"ions specific to their business. For example, commerce software giant Shopify has combined its proprietary data and merchants’ data with Open AI’s GPT to create what it calls Sidekick, a conversational assistant that merchants can talk to and ask questions about how to use Shopify’s platform. It ||| ral holdings developing foundational models, such as Meta Platforms, Amazon and NVIDIA. Another set of companies providing the infrastructure for AI are database companies. The explosion of data in the world has meant that more data will be created in the next three years than was created in the ||| age owns, such as Databricks and Snowflake, help businesses store, manage, and use that data in the cloud. That same data is also the lifeblood of AI, with companies increasingly looking to feed their data into foundational models, allowing the creation of powerful new applications specific to t ||| stions about how to use Shopify’s platform. It can even be asked to accomplish specific tasks, such as compiling reports on best selling products. AI will allow companies to do more with their data and, in doing so, increase the value of those that offer tools to store, parse and effectively us ||| er tools to store, parse and effectively use data. Applications The final layer is the application layer. This is about making productive use of AI in the real world. A significant number of Scottish Mortgage’s holdings are making use of it to expand addressable markets, reduce costs and dig ||| r of Scottish Mortgage’s holdings are making use of it to expand addressable markets, reduce costs and dig deeper competitive moats. Tesla is using AI to make its cars self-driving and even hopes to leverage those advances to produce humanoid robots. After all, what is a self-driving car if not a ||| company is already in conversation with another major carmaker about licensing its self-driving technology. Recursion Pharmaceuticals is leveraging AI to improve drug discovery by creating a map of human biology that could dramatically cut the cost of developing new drugs. Tempus has built a vast ||| clinical records and is applying machine learning to that dataset to enable physicians to make better treatment decisions. Meta Platforms is using AI to improve advertising targeting across its platforms such as Facebook, Instagram and WhatsApp to powerful effect. Spotify is using it to enhance i ||| h as Facebook, Instagram and WhatsApp to powerful effect. Spotify is using it to enhance its personalised song recommendations and has released its AI-powered DJ to much fanfare. AI also enables podcasts on Spotify to be translated into other languages using the actual voice of the podcaster. Th ||| to much fanfare. AI also enables podcasts on Spotify to be translated into other languages using the actual voice of the podcaster. The impact of AI across the portfolio is vast because all companies can benefit from the application of intelligence. AI can be thought of as a powerful new set o ||| gital activities such as e-commerce, streaming, and social media, which saw their market opportunities greatly enlarged. Over time, the benefits of AI are likely to similarly expand to a greater number of companies and lead to new business models. After all, there is no point in investing billio ||| point in investing billions in hardware and infrastructure if there are not a lot of applications to be built. Despite the excitement surrounding AI, it is still important to remember that progress is rarely a straight line. We cannot rule out that there could be a period of digestion following ||| layer as companies take longer than expected to work out how to use new capabilities. Alternatively, we could encounter unexpected limitations to AI models requiring new algorithmic breakthroughs to be made. We are cognisant that the hardware companies, in particular, though currently propelled ||| lly expand to the application layer. The role of Scottish Mortgage will continue to be to invest in and support progress, and the developments in AI provide robust evidence that progress is continuing at pace. On behalf of our shareholders, we invest in transformative change. We’re greatly enco ||| g performance and having grown its net income by over 500 per cent last year. Overall, we still believe we are early in experiencing the impact of artificial intelligence. That impact has been most strongly felt in the hardware and infrastructure layers, but it should gradually expand to the application layer. The",no,no,vague_general_ai_reference,DUPG-014,rejected,,
SMT-REJ-035,Scottish Mortgage Investment Trust,SMT,Scottish Mortgage Investment Trust plc Annual Report and Financial Statements 2024,SMT_company_annual_report_previous_fy-ended-2024-03-31_2024-06.pdf,,annual_report_previous,company_primary,p.20,AI,B,1,better margins. He noted that making the business leaner would make it ideally suited to capture the substantial opportunities available from new AI technology. Lutke decided to sell the logistics business in consideration of its financial characteristics. He made a conscious effort to not be co,no,no,vague_general_ai_reference,,rejected,,
