pilot_order,company,ticker,sector,reason_for_inclusion,contrast_added,recommended_test_order,collection_status,documents_found,documents_reviewed,extraction_status,manual_validation_status,notes
64,Rentokil Initial,RTO,Support services,"FTSE 100 scale-up batch 7 constituent (selected for sector diversity: pest control/hygiene services).",,64,not_started,0,0,not_started,not_started,
65,JD Sports,JD,General retailers,"FTSE 100 scale-up batch 8 constituent (selected for sector diversity: sportswear retail).",,65,not_started,0,0,not_started,not_started,
66,IMI,IMI,Industrial engineering,"FTSE 100 scale-up batch 8 constituent (selected for sector diversity: industrial flow-control engineering).",,66,not_started,0,0,not_started,not_started,
67,Coca-Cola Europacific Partners,CCEP,Beverages,"FTSE 100 scale-up batch 8 constituent (selected for sector diversity: beverage bottling/distribution).",,67,not_started,0,0,not_started,not_started,
68,Hiscox,HSX,Non-life insurance,"FTSE 100 scale-up batch 8 constituent (selected for sector diversity: specialty insurance/underwriting).",,68,not_started,0,0,not_started,not_started,
69,Games Workshop,GAW,Leisure goods,"FTSE 100 scale-up batch 8 constituent (selected for sector diversity: hobby games/miniatures manufacturing and retail).",,69,not_started,0,0,not_started,not_started,
70,Airtel Africa,AAF,Telecommunications services,"FTSE 100 scale-up batch 9 constituent (selected for sector diversity: African mobile telecommunications).",,70,not_started,0,0,not_started,not_started,
71,Beazley,BEZ,Insurance,"FTSE 100 scale-up batch 9 constituent (selected for sector diversity: specialty insurance/underwriting).",,71,not_started,0,0,not_started,not_started,
72,Coca-Cola HBC,CCH,Beverages,"FTSE 100 scale-up batch 9 constituent (selected for sector diversity: beverage bottling/distribution).",,72,not_started,0,0,not_started,not_started,
73,Howdens Joinery,HWDN,Homebuilding & construction supplies,"FTSE 100 scale-up batch 9 constituent (selected for sector diversity: trade joinery/kitchen supplies).",,73,not_started,0,0,not_started,not_started,
74,Weir Group,WEIR,Industrial goods and services,"FTSE 100 scale-up batch 9 constituent (selected for sector diversity: mining/industrial equipment manufacturing).",,74,not_started,0,0,not_started,not_started,
75,Antofagasta plc,ANTO,Mining,"FTSE 100 scale-up batch 10 constituent (selected for sector diversity: copper mining).",,75,not_started,0,0,not_started,not_started,
76,DCC plc,DCC,Support services,"FTSE 100 scale-up batch 10 constituent (selected for sector diversity: diversified sales/marketing/distribution).",,76,not_started,0,0,not_started,not_started,
77,Diploma,DPLM,Industrial support services,"FTSE 100 scale-up batch 10 constituent (selected for sector diversity: technical products distribution).",,77,not_started,0,0,not_started,not_started,
78,Investec,INVP,Financial services,"FTSE 100 scale-up batch 10 constituent (selected for sector diversity: banking/wealth management).",,78,not_started,0,0,not_started,not_started,
79,United Utilities,UU,Multiline utilities,"FTSE 100 scale-up batch 10 constituent (selected for sector diversity: water utility).",,79,not_started,0,0,not_started,not_started,
80,Melrose Industries,MRO,Aerospace & defence,"FTSE 100 scale-up batch 11 constituent (selected for sector diversity: aerospace components manufacturing).",,80,not_started,0,0,not_started,not_started,
81,Spirax Group,SPX,Industrial engineering,"FTSE 100 scale-up batch 11 constituent (selected for sector diversity: steam/thermal/fluid engineering).",,81,not_started,0,0,not_started,not_started,
82,3i,III,Financial services,"FTSE 100 scale-up batch 11 constituent (selected for sector diversity: private equity/infrastructure investment).",,82,not_started,0,0,not_started,not_started,
83,IG Group,IGG,Financial services,"FTSE 100 scale-up batch 11 constituent (selected for sector diversity: online trading platform).",,83,not_started,0,0,not_started,not_started,
84,Fresnillo plc,FRES,Mining,"FTSE 100 scale-up batch 11 constituent (selected for sector diversity: precious metals mining).",,84,not_started,0,0,not_started,not_started,
85,Aberdeen Group,ABDN,Financial Services,"FTSE 100 scale-up batch 12 constituent (selected for sector diversity: asset management).",,85,not_started,0,0,not_started,not_started,
86,St. James's Place,STJ,Financial services,"FTSE 100 scale-up batch 12 constituent (selected for sector diversity: wealth management).",,86,not_started,0,0,not_started,not_started,
87,Land Securities,LAND,Real estate investment trusts,"FTSE 100 scale-up batch 12 constituent (selected for sector diversity: commercial REIT).",,87,not_started,0,0,not_started,not_started,
88,Endeavour Mining,EDV,Mining,"FTSE 100 scale-up batch 12 constituent (selected for sector diversity: gold mining).",,88,not_started,0,0,not_started,not_started,
89,Metlen Energy & Metals,MTLN,Multiline utilities,"FTSE 100 scale-up batch 12 constituent (selected for sector diversity: energy/metals conglomerate).",,89,not_started,0,0,not_started,not_started,
90,Alliance Witan,ALW,Investment Trusts,"FTSE 100 scale-up session 4 constituent (final not_started sweep).",,90,not_started,0,0,not_started,not_started,
91,F&C Investment Trust,FCIT,Collective investments,"FTSE 100 scale-up session 4 constituent (final not_started sweep).",,91,not_started,0,0,not_started,not_started,
92,Intermediate Capital Group,ICG,Financial services,"FTSE 100 scale-up session 4 constituent (final not_started sweep).",,92,not_started,0,0,not_started,not_started,
93,Lion Finance Group,BGEO,Banking services,"FTSE 100 scale-up session 4 constituent (final not_started sweep).",,93,not_started,0,0,not_started,not_started,
94,LondonMetric Property,LMP,Real estate investment trusts,"FTSE 100 scale-up session 4 constituent (final not_started sweep).",,94,not_started,0,0,not_started,not_started,
95,Pershing Square Holdings,PSH,Financial services,"FTSE 100 scale-up session 4 constituent (final not_started sweep).",,95,not_started,0,0,not_started,not_started,
96,Polar Capital Technology Trust,PCT,Investment trusts,"FTSE 100 scale-up session 4 constituent (final not_started sweep).",,96,not_started,0,0,not_started,not_started,
97,Scottish Mortgage Investment Trust,SMT,Collective investments,"FTSE 100 scale-up session 4 constituent (final not_started sweep).",,97,not_started,0,0,not_started,not_started,
98,Segro,SGRO,Real estate investment trusts,"FTSE 100 scale-up session 4 constituent (final not_started sweep).",,98,not_started,0,0,not_started,not_started,
99,Standard Life,SDLF,Life insurance,"FTSE 100 scale-up session 4 constituent (final not_started sweep).",,99,not_started,0,0,not_started,not_started,
100,Tritax Big Box REIT,BBOX,Real estate investment trusts,"FTSE 100 scale-up session 4 constituent (final not_started sweep).",,100,not_started,0,0,not_started,not_started,
