record_id,company,ticker,sector,source_id,document_title,document_category,evidence_origin,publication_date,url,local_filename,page_or_section,evidence_quotation,is_genai,use_case_name,use_case_description,primary_business_function,secondary_business_function,user_group,orientation,deployment_stage,named_tool_or_model,technology_partner,claimed_benefits,benefit_evidence,quantified_metric,risk_or_limitation_discussed,human_review,privacy_control,security_control,accuracy_control,bias_fairness_control,employee_training,responsible_ai_framework,monitoring_audit,restricted_use_control,impact_assessment_control,evidence_strength,confidence,review_status,reviewer_notes,supporting_source_ids,duplicate_of_record_id,coded_by,model_version,coded_date
BT-UC-003,BT Group,BT.A,Telecommunications services,BT-005,BT Group leans on AI to transform customer service experience,press_release,company_primary,2024-12-12,https://newsroom.bt.com/bt-group-leans-on-ai-to-transform-customer-service-experience/,BT.A_company_press_release_bt-group-leans-on-ai-to-transform-customer-service-experienc_2024-12-12.html,not_applicable,"The platform enables BT Group to use generative AI to support various customer experiences, for sales and support for both EE and BT customers.",yes,Sprinklr/Aimee generative-AI customer service,"BT Group uses generative AI via Sprinklr's Unified-CXM platform, powering EE's virtual assistant Aimee, to support sales and customer-service experiences; explicit examples include generative-AI travel-preparation support (roughly halving the need for online support) and generative-AI billing-charge explanations, with continuing use at meaningful scale (tens of thousands of conversations per week).",customer_service,unclear,customers,customer_facing,live_scaled,Sprinklr Unified-CXM platform / EE virtual assistant Aimee,Sprinklr,service_quality;time_saving,expected,not_applicable,yes,no,no,no,no,no,no,no,no,no,no,3_strong,high,reviewed_confirmed,"Promoted from staging BT-OP-003 (reviewer_decision=accept). evidence_strength/confidence explicitly approved by the human operator: Matches 3_strong on all four supporting elements: (1) BT-primary evidence -- this is BT Group's own newsroom announcement (evidence_origin=company_primary), not a vendor case study; (2) explicit generative-AI language -- the source states BT Group 'use[s] generative AI to support various customer experiences' and names the underlying LLM-agnostic architecture; (3) a concrete, deployed customer-service function -- generative-AI travel-preparation support and generative-AI billing-charge explanations, both live within the Aimee assistant; (4) quantified usage/scale evidence -- tens of thousands of weekly conversations handled, with described week-on-week growth.",,,human,,2026-07-17
BT-UC-004,BT Group,BT.A,Telecommunications services,BT-006,Writing and Maintaining 2 Million Lines a Year Using Amazon Q Developer with BT Group,partner_case_study,technology_partner,,https://aws.amazon.com/solutions/case-studies/bt-group-case-study/,BT.A_partner_partner_case_study_writing-and-maintaining-2-million-lines-a-year-using-amazon.html,not_applicable,"Amazon Q Developer generates over 2 million lines of code per year for BT Group, compared with 2.5-3 million lines of code that developers previously produced annually.",yes,"Amazon Q Developer for code generation, testing and transformation","BT Group's approximately 2,000 developers use Amazon Q Developer (formerly Amazon CodeWhisperer) for code generation, unit-test generation, code transformation between language versions, and console/in-line chat assistance.",software_development_it,unclear,developers,internal,live_scaled,Amazon Q Developer (formerly Amazon CodeWhisperer),AWS,productivity;time_saving,expected,not_applicable,unclear,no,no,no,no,no,no,no,no,no,no,2_moderate,medium,reviewed_confirmed,"Promoted from staging BT-OP-004 (reviewer_decision=accept). evidence_strength/confidence explicitly approved by the human operator: Vendor-authored (AWS, technology_partner) case study with a specific, quantified use case (~2,000 users, 2M+ lines/year) -- exceeds 1_weak's 'vague description', but the vendor origin, without independent BT-primary corroboration beyond a brief AR2024 mention, keeps it short of 3_strong.",,,human,,2026-07-17
RR-UC-001,Rolls-Royce Holdings,RR,Aerospace & defence,RR-003,Rolls-Royce: Harnessing the Power of Databricks for Image Generation,partner_case_study,technology_partner,2024-08-08,https://www.databricks.com/blog/rolls-royce-mosaic-ai,RR_partner_partner_case_study_rolls-royce-harnessing-the-power-of-databricks-for-image-gen_2024-08-08.html,not_applicable,"Rolls-Royce has witnessed the transformative power of the Databricks Data Intelligence Platform in various AI projects. One example is a collaboration between Rolls-Royce and Databricks, focused on optimizing conditional Generative Adversarial Network (cGAN)",yes,Databricks cGAN for preliminary aero-engine design generation,"Rolls-Royce and Databricks collaborated on training a conditional Generative Adversarial Network (cGAN), reusing legacy simulation data, to generate and validate preliminary aero-engine design concepts; co-authored by five named Rolls-Royce engineers.",research_development,product_service_innovation,employees,internal,pilot,Conditional Generative Adversarial Network (cGAN) via Databricks Data Intelligence Platform,Databricks,time_saving;innovation,expected,not_applicable,unclear,no,no,no,no,no,no,no,no,no,no,2_moderate,medium,reviewed_confirmed,"Promoted from staging RR-OP-001 (reviewer_decision=accept). evidence_strength/confidence explicitly approved by the human operator: Vendor-published (Databricks) but co-authored by five named Rolls-Royce engineers, strengthening credibility; describes a specific, named generative technique (cGAN) and task (design-concept generation), but no quantified benefit is given (only qualitative claims), and Rolls-Royce has not independently published corroboration -- matches 2_moderate.",,,human,,2026-07-17
EXPN-UC-001,Experian,EXPN,Support services,EXPN-003,New AI-Powered Experian Assistant for Model Risk Management Streamlines and Accelerates Governance Processes,press_release,company_primary,2025-07-31,https://www.experianplc.com/newsroom/press-releases/2025/new-ai-powered-experian-assistant-for-model-risk-management-stre,EXPN_company_press_release_new-ai-powered-experian-assistant-for-model-risk-management_2025-07-31.html,not_applicable,"This launch further strengthens the award-winning Experian Assistant product family, extending trusted automation and GenAI capabilities from model development into model governance.",yes,Experian Assistant for Model Risk Management -- GenAI-enabled documentation and governance automation,"A GenAI-enabled capability within the Experian Assistant product family, launched for financial-institution clients to simplify model documentation efforts via automation and guided workflows, extending automation from model development into model governance for model risk management. Follows the earlier introduction of the award-winning Experian Assistant and its AI-enabled model-lifecycle features.",risk_legal_compliance,product_service_innovation,customers,product_embedded,live_limited,Experian Assistant for Model Risk Management (part of the Experian Ascend Platform; built with ValidMind technology),ValidMind,risk_reduction,observed_unquantified,not_applicable,unclear,no,no,no,no,no,no,no,no,no,no,2_moderate,medium,reviewed_confirmed,"Promoted from staging EXPN-OP-001 (reviewer_decision=accept). evidence_strength/confidence explicitly approved by the human operator: Company-primary launch announcement (Experian's own newsroom) with an explicit, concrete task (simplifying model documentation via automation and guided workflows) and a named client user group (financial institutions), but no quantified adoption/outcome metric is given -- matches 2_moderate ('specific use case is clear, but scale, stage or outcomes are incomplete').",,,human,,2026-07-20
RIO-UC-001,Rio Tinto,RIO,Mining,RIO-003,Using Artificial Intelligence and data science for better operations,strategy_or_technology_webpage,company_primary,2024-07-25,https://www.riotinto.com/en/news/stories/using-ai-data-science-for-better-operations,RIO_company_strategy_or_technology_webpage_using-artificial-intelligence-and-data-science-for-better-op_2024-07-25.html,not_applicable,a Generative Pre-Trained Transformer (GPT) like knowledge agent for the Annual Planning Review workshop. We leveraged cutting-edge technology such as Generative AI and Large Language Models (LLMs) and collaborated across different teams to ensure timely delivery in only 3 weeks.,yes,GPT-like knowledge agent for the Annual Planning Review workshop,"Rio Tinto's internal Data & Analytics team built a Generative Pre-Trained Transformer (GPT)-like knowledge agent, using generative AI and large language models, to support the Annual Planning Review workshop -- delivered by the internal data science team in three weeks.",knowledge_document_work,unclear,employees,internal,pilot,GPT-like knowledge agent (internally built; no named vendor model),not_applicable (internally built by Rio Tinto's own Data & Analytics team),none_stated,expected,not_applicable,unclear,no,no,no,no,no,no,no,no,no,no,2_moderate,medium,reviewed_confirmed,"Promoted from staging RIO-OP-001 (reviewer_decision=accept). evidence_strength/confidence explicitly approved by the human operator: Company-primary source (official riotinto.com story page) explicitly names a specific delivered task (a GPT-like knowledge agent for the Annual Planning Review workshop, built by the internal Data & Analytics team in 3 weeks), but no quantified usage outcome or ongoing-scale evidence is given beyond the one named workshop -- matches 2_moderate ('specific use case is clear, but scale, stage or outcomes are incomplete').",,,human,,2026-07-20
DGE-UC-001,Diageo,DGE,Beverages,DGE-003,Diageo unveils its First Bottle Personalisation Experience Fuelled by Generative AI,press_release,company_primary,2024-07-23,https://www.diageo.com/en/news-and-media/press-releases/2024/diageo-unveils-its-first-bottle-personalisation-experience-fuelled-by-generative-ai,DGE_company_press_release_diageo-unveils-its-first-bottle-personalisation-experience-f_2024-07-23.html,not_applicable,"The technology, powered by Generative AI, empowers consumers to co-create designs on Diageo products in a way that is bespoke to them and relevant to the worlds they are passionate about. Diageo has leveraged the latest developments in Generative AI through Amazon's Titan bedrock model.",yes,Johnnie Walker x Scott Naismith generative-AI bottle/label personalisation pilot,"A Generative AI-powered experience, built on Amazon's Titan Bedrock model, allowing guests at Johnnie Walker Princes Street (Edinburgh) to co-design a personalised Johnnie Walker Blue Label bottle/label with artist Scott Naismith. Guests answer three questions that influence artistic themes; explicitly described in-source as 'the first pilot in a wider platform'. Ran 1-31 August 2024 at a single venue.",product_service_innovation,marketing_content,customers,customer_facing,pilot,Amazon Titan Bedrock model,"Amazon AWS (also named: Phantom, Hybrid Software, GMG, Roland DG)",personalisation,expected,not_applicable,unclear,no,no,no,no,no,no,no,no,no,no,2_moderate,medium,reviewed_confirmed,"Promoted from staging DGE-OP-001 (reviewer_decision=accept). evidence_strength/confidence explicitly approved by the human operator: Company-primary source names a specific generative-AI model (Amazon Titan Bedrock) and a concrete task (bottle-label co-creation), but the deployment is explicitly a time- and venue-limited pilot with no quantified usage/outcome metric -- matches 2_moderate.",,,human,,2026-07-20
DGE-UC-002,Diageo,DGE,Beverages,DGE-001,Diageo Annual Report 2025,annual_report_current,company_primary,,https://www.diageo.com/~/media/Files/D/Diageo-V2/Diageo-Corp/investors/results-reports-and-events/annual-reports/2025/annual-report-2025.pdf,DGE_company_annual_report_current_fy2025.pdf,p.36,"We utilise a generative AI-chatbot for real-time learning, revised ransomware response protocols and improved phishing simulation outcomes.",yes,Generative-AI chatbot for cybersecurity training and phishing simulation,"Diageo's internal security function uses a generative-AI chatbot to support real-time learning, revised ransomware-response protocols, and improved phishing-simulation outcomes, disclosed as a current risk-mitigation measure in the FY2025 Annual Report.",cybersecurity,risk_legal_compliance,employees,internal,live_limited,Generative AI chatbot (no vendor/model named in source),not_applicable (no technology partner named),risk_reduction,observed_unquantified,not_applicable,unclear,no,no,no,no,no,no,no,no,no,no,2_moderate,medium,reviewed_confirmed,"Promoted from staging DGE-OP-002 (reviewer_decision=accept). evidence_strength/confidence explicitly approved by the human operator: Company-primary Annual Report disclosure names a specific, concrete task (phishing-simulation/security-awareness chatbot) as a current mitigation, but no vendor/model or adoption-scale figures are given -- matches 2_moderate.",,,human,,2026-07-20
DGE-UC-003,Diageo,DGE,Beverages,DGE-002,Diageo Annual Report 2024,annual_report_previous,company_primary,,https://www.diageo.com/~/media/Files/D/Diageo-V2/Diageo-Corp/investors/results-reports-and-events/annual-reports/diageo-annual-report-2024.pdf,DGE_company_annual_report_previous_fy2024.pdf,p.13,"In May, we launched 'What's Your Cocktail?', a generative AI-driven digital platform to recommend cocktail pairings with individual food preferences.",yes,'What's Your Cocktail?' generative-AI food-pairing recommendation platform,"A generative AI-driven digital platform, launched by Diageo in May [2024], that recommends cocktail-and-food pairings tailored to individual consumer food preferences, helping consumers 'demystify cocktails'.",product_service_innovation,marketing_content,customers,customer_facing,live_limited,'What's Your Cocktail?' platform (underlying model/vendor not named in source),not_applicable (no technology partner named),personalisation,observed_unquantified,not_applicable,unclear,no,no,no,no,no,no,no,no,no,no,2_moderate,medium,reviewed_confirmed,"Promoted from staging DGE-OP-003 (reviewer_decision=accept). evidence_strength/confidence explicitly approved by the human operator: Company-primary Annual Report disclosure describing a named, launched, live consumer-facing platform with an explicit generative-AI function, but no adoption-scale or outcome metric is given -- matches 2_moderate.",,,human,,2026-07-20
VOD-UC-001,Vodafone Group,VOD,Mobile telecommunications,VOD-002,Meet SuperTOBi -- Vodafone's new Generative AI virtual assistant now serving customers in multiple countries,press_release,company_primary,2024-07-04,https://www.vodafone.com/news/newsroom/technology/meet-super-tobi-vodafone-s-new-generative-ai-virtual-assistant-now-serving-customers-in-multiple-countries,VOD_company_press_release_meet-supertobi-vodafone-s-new-generative-ai-virtual-assistan_2024-07-04.html,not_applicable,"Vodafone today announced that SuperTOBi, its new customer-focussed Generative AI (GenAI) driven virtual assistant, is being rolled out across Europe. SuperTOBi, powered by Microsoft Azure OpenAI, can understand and respond faster.",yes,SuperTOBi generative-AI customer virtual assistant,"SuperTOBi, Vodafone's customer-focused Generative AI virtual assistant, powered by Microsoft Azure OpenAI, understands and responds to complex customer enquiries (interpreting full sentences/phrases rather than keywords) better than traditional chatbots. Rolled out in Italy and Portugal, expanding to Germany and Turkey and other markets. In Portugal, first-time resolution rose from 15% to 60% and online NPS improved by 14 points to 64.",customer_service,unclear,customers,customer_facing,live_scaled,SuperTOBi (built on Microsoft Azure OpenAI),Microsoft (Azure OpenAI),service_quality,expected,not_applicable,unclear,no,no,no,no,no,no,no,no,no,no,3_strong,high,reviewed_confirmed,"Promoted from staging VOD-OP-001 (reviewer_decision=accept). evidence_strength/confidence explicitly approved by the human operator: Company-primary announcement naming a specific tool and underlying platform (Azure OpenAI), a concrete customer-service task, a multi-country live deployment, and quantified outcome metrics (first-time resolution 15%->60%, NPS +14 points) -- matches 3_strong (concrete deployed function, quantified scale/outcome, company-primary).",,,human,,2026-07-20
VOD-UC-002,Vodafone Group,VOD,Mobile telecommunications,VOD-001,Vodafone Group Plc Annual Report on Form 20-F 2025,annual_report_current,company_primary,,https://investors.vodafone.com/~/media/Files/V/Vodafone-IR/documents/performance/financial-results/2025/form-20-f-2025.pdf,VOD_company_annual_report_current_fy2025.pdf,p.22,"In November 2024 we started a global market-by-market rollout of Copilot for Microsoft 365. This tool uses GenAI to make daily tasks such as drafting emails, creating presentations and summarising meetings easier, boosting productivity. By January 2025, over 50,000 colleagues had access to Copilot.",yes,Copilot for Microsoft 365 employee productivity rollout,"Vodafone's global rollout of Copilot for Microsoft 365 (from November 2024), which 'uses GenAI to make daily tasks such as drafting emails, creating presentations and summarising meetings easier'. By January 2025, over 50,000 colleagues had access; 20 skill labs on prompt engineering were delivered to 13,000 colleagues. A foundational 'GenAI Empowering You' training campaign was completed by 40,000 colleagues.",software_development_it,human_resources,employees,internal,live_scaled,Copilot for Microsoft 365,Microsoft,productivity,expected,not_applicable,unclear,no,no,no,no,no,no,no,no,no,no,3_strong,high,reviewed_confirmed,"Promoted from staging VOD-OP-002 (reviewer_decision=accept). evidence_strength/confidence explicitly approved by the human operator: Company-primary Annual Report disclosure naming a specific tool, concrete tasks (drafting emails/presentations/meeting summaries), and a quantified, large-scale deployment (50,000+ employees, 13,000 in skill labs, 40,000 in foundational training) -- matches 3_strong.",,,human,,2026-07-20
